age,income,debt,loan_amount,credit_history_years,num_late_payments,num_credit_lines,employment_years,debt_to_income_ratio,default
51,15296.98,6368.55,7476.4,4.0,3,4,7.1,0.4163,0
37,64556.09,10549.37,17782.61,3.0,2,3,10.5,0.1634,0
30,71439.9,31161.27,17453.6,10.5,4,4,12.7,0.4362,0
46,11289.12,6912.12,19632.01,19.5,2,5,5.1,0.6123,0
29,65321.38,46805.08,16811.82,23.1,1,4,11.8,0.7165,0
40,22329.92,14107.36,8221.76,7.5,3,5,7.4,0.6318,0
39,60729.53,9486.78,10842.16,6.6,2,1,22.2,0.1562,0
53,34854.31,16721.32,27898.19,8.4,2,4,4.0,0.4797,0
45,36947.95,9818.5,31391.28,8.3,1,5,14.4,0.2657,0
39,32498.25,239.33,5337.82,2.0,2,0,26.9,0.0074,0
49,75152.72,12037.72,3925.53,6.1,1,6,3.7,0.1602,0
56,17261.73,1563.51,7468.79,9.6,2,6,17.2,0.0906,0
46,52297.52,35257.7,30827.61,10.8,0,2,6.2,0.6742,0
40,70319.06,14542.33,35309.5,11.2,3,1,2.7,0.2068,0
24,55815.34,12712.41,6375.58,8.2,0,9,5.4,0.2278,0
27,146505.66,112508.91,17083.14,3.9,1,4,12.6,0.7679,0
36,26439.96,8018.43,57962.13,7.4,3,6,11.9,0.3033,0
32,64497.57,494.6,18624.8,15.8,1,4,8.0,0.0077,0
37,34075.9,7737.85,41656.08,10.0,4,2,3.7,0.2271,0
40,76118.27,7264.7,29702.34,6.7,3,4,3.1,0.0954,0
46,36148.35,2973.09,6450.04,24.2,1,2,9.4,0.0822,0
39,28775.35,1783.78,11476.02,8.5,2,4,4.1,0.062,0
45,79510.42,37736.25,13736.39,7.3,2,4,6.5,0.4746,1
40,27039.74,4095.93,14520.35,11.8,3,4,3.8,0.1515,0
18,15558.53,4496.33,27807.56,3.6,2,7,11.1,0.289,0
28,26632.61,18366.23,18526.32,6.6,1,5,5.1,0.6896,0
38,52649.91,17873.09,1275.43,7.4,2,5,16.3,0.3395,1
25,83719.17,61328.74,4673.8,2.5,1,5,4.6,0.7326,0
47,38819.49,15463.76,2321.79,9.0,2,3,11.0,0.3984,0
58,80090.96,25554.57,15371.83,10.8,1,3,1.5,0.3191,0
54,16076.2,9650.72,16193.9,5.7,3,5,18.6,0.6003,0
37,27834.79,1629.45,16757.14,12.2,2,3,14.8,0.0585,0
57,30541.9,2186.27,6203.43,14.5,2,5,14.8,0.0716,0
41,33903.19,17683.19,22909.69,15.6,0,5,11.9,0.5216,0
35,38194.88,14878.91,23694.78,4.0,0,3,11.0,0.3896,0
32,54970.2,34759.43,4894.57,8.8,1,3,9.4,0.6323,0
36,27809.03,20384.48,4134.7,11.4,1,4,4.9,0.733,0
35,39474.78,12264.56,13358.32,8.7,1,6,,0.3107,0
42,35345.5,16864.33,56017.86,13.9,3,5,7.9,0.4771,0
41,20836.59,8346.25,52041.37,9.2,1,6,5.6,0.4006,1
40,33921.35,26638.05,20967.39,3.9,0,5,4.6,0.7853,0
45,33316.37,22150.97,7450.25,14.1,0,3,10.0,0.6649,0
54,32890.91,23990.31,27159.28,8.6,0,4,12.3,0.7294,0
51,37014.15,7531.35,9302.71,19.0,1,3,9.4,0.2035,0
22,38002.38,23486.27,7230.0,3.9,0,3,2.6,0.618,0
18,28018.57,5950.54,2403.85,8.7,3,4,,0.2124,0
51,77934.88,13014.66,14500.03,18.2,5,2,3.4,0.167,0
23,18003.32,13599.94,8071.59,9.3,0,6,2.7,0.7554,0
37,23562.65,363.89,14431.15,,0,4,10.0,0.0154,0
25,192524.4,148688.7,2122.85,14.8,1,3,8.1,0.7723,0
18,19481.2,2326.24,15303.87,8.4,0,4,7.7,0.1194,0
46,16118.89,10566.75,1910.47,4.7,1,2,8.5,0.6556,0
49,56426.04,12455.37,31899.71,13.5,2,2,8.5,0.2207,0
33,10443.43,2930.03,20282.49,7.5,0,3,4.8,0.2806,0
18,31534.44,5468.27,10690.04,1.9,3,5,7.5,0.1734,0
33,131596.4,61641.23,20955.91,16.3,1,5,5.0,0.4684,0
44,14372.02,4002.27,6109.14,20.3,2,3,6.0,0.2785,0
22,11057.03,5815.05,14156.09,5.5,2,5,9.9,0.5259,0
42,14772.04,184.91,25230.76,8.1,3,3,4.6,0.0125,0
39,62256.35,3206.2,1123.91,21.3,3,5,5.8,0.0515,0
46,71315.29,5685.89,9341.49,18.4,2,5,2.9,0.0797,0
41,26700.74,8949.95,13119.89,11.4,0,5,,0.3352,0
28,54716.88,35666.48,11418.21,17.4,2,2,11.8,0.6518,1
54,83629.63,59422.39,42859.45,7.2,2,8,3.9,0.7105,1
38,106128.71,20785.16,5436.44,3.2,2,0,5.6,0.1958,0
39,31325.85,14394.1,8128.02,15.5,1,3,3.1,0.4595,0
28,9128.14,5610.99,2885.07,8.0,1,6,6.5,0.6147,0
34,22191.68,5127.69,44722.38,,2,3,7.0,0.2311,1
29,28111.04,9198.11,10970.53,5.7,2,4,9.8,0.3272,0
37,,13032.22,9407.6,7.0,1,4,8.5,0.4192,0
60,32444.44,3500.75,12810.42,7.5,2,1,15.1,0.1079,0
23,71064.04,1477.13,22225.35,5.1,3,4,2.7,0.0208,0
20,78015.05,9536.92,17639.41,4.1,1,7,4.0,0.1222,0
57,32761.06,16429.11,111113.49,2.4,3,5,1.8,0.5015,1
37,70199.11,4134.35,19209.28,2.3,2,3,4.1,0.0589,0
31,45008.06,6830.29,9207.78,7.9,0,2,13.7,0.1518,0
52,37748.6,10202.81,8526.33,9.5,1,5,15.8,0.2703,0
32,62562.82,3897.42,9757.51,4.1,1,3,10.0,0.0623,0
61,37924.45,5816.07,4017.96,17.2,2,0,5.7,0.1534,0
48,124827.33,91001.1,13792.65,6.3,2,4,7.8,0.729,1
34,15320.6,236.54,25003.58,7.5,3,3,8.9,0.0154,0
65,26659.41,13936.09,8178.87,7.2,1,1,7.9,0.5227,0
32,33660.78,10351.6,7003.01,2.1,1,8,4.9,0.3075,0
48,47271.91,25437.91,44925.29,14.0,2,5,4.6,0.5381,0
43,77712.88,36599.14,4267.63,11.3,0,6,5.1,0.471,0
55,35787.75,6398.81,2554.84,17.5,2,2,4.8,0.1788,0
58,15470.07,10485.11,5311.76,16.9,3,6,13.6,0.6778,0
40,60204.86,23693.76,3895.8,10.5,4,5,9.9,0.3936,0
30,57123.75,37589.07,18196.43,11.8,1,4,13.2,0.658,0
45,11326.32,3678.9,10010.97,3.9,1,3,7.8,0.3248,0
31,36232.71,28542.26,11206.51,6.3,1,6,10.4,0.7877,0
64,13987.44,8621.74,33602.22,7.2,2,6,10.3,0.6164,0
41,24372.47,18834.07,7684.28,5.8,1,5,7.9,0.7728,0
35,21127.16,8693.01,24836.55,16.6,3,4,8.1,0.4115,0
42,59015.7,22364.17,44759.47,8.9,3,7,9.9,0.379,0
23,38952.49,23541.45,9278.64,4.8,0,3,9.1,0.6044,0
28,16791.79,11825.33,24091.59,16.0,0,2,18.7,0.7042,0
54,61576.75,47495.17,11009.85,9.1,1,7,6.3,0.7713,0
32,15362.99,3988.87,27980.93,13.7,0,3,7.8,0.2596,0
27,44270.25,28287.08,3800.2,3.8,1,5,,0.639,0
46,22283.32,3755.11,3581.69,9.5,3,2,7.7,0.1685,0
54,29161.18,12727.67,9769.16,4.7,1,3,15.9,0.4365,0
48,49146.58,7071.14,6560.75,9.2,1,6,4.1,0.1439,0
51,49655.76,13800.22,8836.38,11.3,3,5,14.7,0.2779,0
30,80998.14,60350.64,11207.95,3.6,1,0,6.0,0.7451,0
22,34566.76,4039.91,23765.99,7.8,3,7,29.7,0.1169,0
58,43646.16,22081.5,9641.88,3.8,2,9,4.3,0.5059,0
36,27927.23,13247.66,6911.29,14.1,2,1,7.4,0.4744,0
36,40505.54,3912.46,10084.85,8.3,1,4,4.5,0.0966,0
55,47272.86,12327.97,7220.53,4.8,2,7,24.0,0.2608,0
46,34235.35,15419.1,6328.35,5.6,1,2,5.6,0.4504,0
45,12304.86,1842.57,3676.02,6.2,4,3,9.9,0.1497,0
65,44306.32,28378.15,14123.32,17.4,3,5,,0.6405,0
32,45194.78,35149.12,8476.35,7.7,0,4,8.0,0.7777,0
51,24146.53,4148.56,28941.24,12.8,3,3,13.9,0.1718,0
40,16803.93,2512.68,4196.82,7.9,2,3,1.9,0.1495,0
43,,32041.38,8658.81,3.9,3,2,2.8,0.3639,0
58,48769.84,29174.71,56972.6,5.6,1,8,8.2,0.5982,1
46,31651.83,7130.54,6300.05,9.8,1,5,9.5,0.2253,0
46,18357.26,291.95,11056.5,2.1,1,5,10.0,0.0159,0
52,22179.22,9603.08,5050.92,10.7,3,7,15.5,0.433,0
35,79344.49,60720.79,4542.61,5.1,0,7,12.6,0.7653,0
29,39442.42,12346.32,46066.85,8.9,1,7,0.8,0.313,0
27,26098.88,8772.03,15318.73,5.7,0,4,1.7,0.3361,1
18,49306.62,38218.62,14867.65,11.9,2,4,3.2,0.7751,0
64,22278.14,12379.65,3439.04,8.2,2,3,5.2,0.5557,0
26,89366.92,51416.14,17800.7,11.7,1,3,7.4,0.5753,0
37,81771.19,36810.25,33723.07,2.4,1,1,8.4,0.4502,0
36,27448.19,21401.01,33509.41,7.1,0,4,4.9,0.7797,0
43,24904.35,13724.62,22803.44,5.1,2,2,13.4,0.5511,0
49,7548.62,5405.01,5412.2,10.6,3,6,4.3,0.716,0
50,14928.86,8352.74,17162.79,14.0,0,6,21.9,0.5595,0
33,16257.64,9561.0,22789.79,13.7,2,5,8.9,0.5881,0
37,39383.97,9150.03,3179.39,17.9,2,5,15.8,0.2323,0
43,29859.54,7249.39,5447.85,14.2,1,3,6.6,0.2428,0
37,16200.52,10147.81,27187.86,7.1,2,8,9.0,0.6264,0
59,30678.02,7281.89,26925.7,4.3,0,5,7.5,0.2374,0
45,49178.03,22140.74,3870.48,2.6,2,5,2.5,0.4502,0
48,49846.5,9943.47,25235.76,4.2,0,4,8.7,0.1995,0
47,11616.69,7592.51,14418.14,2.3,3,0,3.2,0.6536,1
54,33625.56,2972.54,24954.44,3.3,1,3,6.9,0.0884,0
42,15835.28,10507.62,8041.6,9.3,1,2,7.4,0.6636,0
24,62382.32,30079.75,22385.01,2.4,0,5,23.2,0.4822,0
44,58132.95,8692.48,26240.6,10.0,0,2,12.6,0.1495,0
32,21187.86,9187.66,10086.29,5.6,1,7,7.8,0.4336,0
33,22933.93,5183.05,13550.82,8.4,1,2,9.2,0.226,0
47,27535.73,7125.53,7952.03,8.6,0,2,12.8,0.2588,1
54,9398.67,2643.12,50076.7,17.9,2,5,11.8,0.2812,1
40,44426.03,2250.42,12134.19,8.8,0,5,8.3,0.0507,0
43,30831.53,24318.97,6389.3,3.4,3,5,5.6,0.7888,0
60,64997.56,1639.74,7535.19,4.5,3,5,12.1,0.0252,0
42,18787.64,9957.4,14785.71,8.6,0,0,2.4,0.53,1
71,25047.42,7438.64,24407.97,6.9,1,7,10.6,0.297,0
46,14707.09,7600.75,4588.64,8.8,0,8,22.9,0.5168,0
18,19879.13,5665.52,58578.79,10.2,2,4,5.3,0.285,1
49,17868.79,9631.29,17101.82,4.6,2,4,5.1,0.539,0
44,66011.5,38510.34,19402.65,10.3,3,4,7.6,0.5834,0
55,23885.88,13195.57,12360.34,11.0,1,4,30.5,0.5524,0
48,39124.55,3566.97,13567.16,8.9,1,1,2.3,0.0912,0
38,28898.41,15186.54,11865.3,21.0,1,4,,0.5255,0
25,16955.05,3797.76,30158.94,2.6,1,8,3.9,0.224,0
37,32827.43,756.38,13275.26,19.5,2,3,3.5,0.023,0
29,52024.08,17264.95,24677.33,,0,2,9.8,0.3319,1
33,17594.55,6102.4,9441.99,5.0,2,5,13.6,0.3468,0
47,59010.32,22054.48,15623.2,10.5,0,3,8.9,0.3737,0
60,21810.95,12298.31,7022.42,5.6,1,4,1.3,0.5639,1
44,27179.26,6715.32,35355.97,13.5,2,7,3.1,0.2471,0
25,49931.63,12593.98,6856.84,6.4,4,3,8.6,0.2522,0
45,24390.24,1181.51,10301.21,14.6,2,2,16.4,0.0484,0
54,37143.53,20408.77,10384.11,4.1,1,2,9.2,0.5495,0
32,30067.06,13658.29,10065.2,9.7,1,4,1.0,0.4543,0
38,39246.63,10971.01,23813.23,4.8,2,6,18.0,0.2795,0
40,8704.16,4910.46,10370.02,9.9,0,2,10.6,0.5642,0
30,12114.89,5208.02,40747.09,3.0,3,3,7.3,0.4299,0
47,,19728.24,6941.13,3.2,3,6,7.8,0.3754,0
38,67663.95,27678.59,15298.38,6.4,1,4,2.8,0.4091,0
45,21030.06,10705.95,7182.27,14.9,0,8,11.9,0.5091,0
29,31369.24,16563.02,18709.34,2.7,0,5,12.6,0.528,0
34,43340.01,10018.75,13190.34,16.5,4,5,15.6,0.2312,0
48,,6197.92,11801.13,9.9,1,5,12.1,0.1126,0
35,10757.88,1348.04,34571.33,14.3,1,1,20.6,0.1253,0
60,21340.8,10916.09,7915.09,8.2,1,7,12.7,0.5115,0
35,29746.07,20771.64,21358.65,8.9,2,1,12.7,0.6983,0
42,55375.03,18140.69,7221.6,7.0,1,2,4.1,0.3276,0
51,162601.6,22051.4,14620.04,6.5,1,6,3.1,0.1356,0
22,31672.26,19170.65,5133.48,12.1,1,7,9.0,0.6053,0
18,15612.29,10397.65,7863.49,4.1,1,4,8.3,0.666,0
21,46228.92,32566.7,12510.02,8.1,1,8,1.6,0.7045,0
55,,38946.71,57052.05,2.7,3,2,8.3,0.4855,1
33,38746.99,26680.51,14481.73,3.3,0,4,16.1,0.6886,0
70,21078.54,259.94,50198.21,7.6,1,8,14.0,0.0123,0
33,64524.25,5535.45,15934.77,5.4,1,3,24.1,0.0858,0
42,54075.01,4004.84,9801.91,7.1,2,2,12.2,0.0741,0
58,19620.92,11185.57,45774.63,4.5,2,4,16.9,0.5701,1
64,45654.4,2541.37,18951.04,11.4,1,3,14.9,0.0557,0
64,66062.68,26232.93,7989.01,3.5,1,5,17.7,0.3971,0
54,73801.48,27909.17,19466.63,19.9,3,2,5.8,0.3782,0
52,34896.11,8673.88,10571.58,16.0,1,4,4.0,0.2486,0
47,29294.42,20398.41,2721.05,10.6,1,4,20.4,0.6963,0
49,75838.72,10340.35,28248.02,3.1,3,3,1.0,0.1363,1
33,17569.22,4954.0,32078.69,7.1,2,5,3.5,0.282,0
30,47247.15,29261.92,58125.14,10.9,1,1,6.7,0.6193,0
39,15962.28,388.49,18726.88,13.8,1,5,6.8,0.0243,0
37,68818.35,37049.07,10949.2,13.8,5,1,8.0,0.5384,0
34,31106.52,20316.23,26055.69,12.3,1,7,7.1,0.6531,0
48,77741.92,57981.03,26366.68,1.7,0,4,8.5,0.7458,0
51,48768.88,34188.8,49544.42,4.2,0,1,10.6,0.701,1
41,17432.09,4454.03,12891.17,12.5,1,3,10.0,0.2555,0
57,85372.27,40047.39,11702.25,5.6,2,1,1.8,0.4691,0
26,92110.77,5695.65,7536.89,9.6,2,3,6.1,0.0618,0
37,61658.84,12719.97,20536.72,20.6,2,2,7.2,0.2063,0
31,22995.35,1733.34,3871.47,5.4,0,3,17.2,0.0754,0
18,30224.0,7620.98,24856.38,14.4,3,6,2.5,0.2521,0
39,39626.62,27744.57,21381.22,9.9,1,7,13.6,0.7001,0
38,23807.92,6612.26,21333.98,25.8,3,3,12.6,0.2777,0
58,100248.56,45063.58,14921.83,9.9,1,6,9.4,0.4495,0
47,39600.45,13729.66,45541.65,5.6,0,12,9.6,0.3467,0
27,7172.37,2633.22,26838.56,8.1,2,2,6.1,0.3671,1
62,44516.42,34529.5,8220.1,4.0,2,1,6.7,0.7757,0
54,29469.34,6981.98,8338.65,12.0,1,4,12.6,0.2369,0
46,34719.06,17424.09,6609.48,6.3,4,2,4.8,0.5019,0
37,29109.75,9782.34,20765.05,8.1,0,8,9.1,0.3361,0
28,58937.21,2883.03,6002.25,15.0,1,4,5.6,0.0489,0
35,71097.87,27832.3,31783.85,3.7,1,3,11.0,0.3915,0
53,43037.71,28003.55,38498.66,13.9,1,4,7.2,0.6507,0
62,29626.17,2340.54,6612.96,2.9,1,0,4.0,0.079,1
58,35425.87,1972.28,11516.79,7.5,1,3,13.4,0.0557,0
34,36745.09,4516.16,13538.55,10.6,1,4,4.5,0.1229,0
26,22438.69,13721.71,27097.22,12.5,2,5,8.8,0.6115,0
41,51398.14,29769.61,48410.63,4.0,3,3,19.5,0.5792,0
18,47859.52,21633.18,3468.95,20.8,4,6,12.9,0.452,0
43,91515.6,34280.02,10357.39,10.7,4,4,9.0,0.3746,0
38,77127.09,54811.19,10798.76,12.6,2,2,6.1,0.7107,0
34,24066.96,14761.67,4356.67,10.7,2,6,22.7,0.6134,0
20,,38588.49,9062.61,4.1,0,3,8.8,0.6496,0
46,20525.6,13354.16,18811.34,5.1,1,4,9.0,0.6506,0
33,55136.06,28349.51,10689.92,16.1,2,3,9.4,0.5142,0
25,26636.33,9759.86,3882.77,16.4,2,0,4.8,0.3664,0
18,19654.23,13595.66,133154.6,2.0,3,3,8.2,0.6917,1
39,42960.11,31825.1,16530.17,11.9,1,4,8.1,0.7408,0
61,7297.3,138.98,14608.45,7.4,1,7,5.6,0.019,0
59,12700.73,523.83,5550.59,10.3,2,2,15.3,0.0412,0
34,32646.89,25039.99,16457.97,9.0,1,1,16.3,0.767,0
32,38157.02,8460.5,11715.04,8.9,5,3,7.2,0.2217,0
45,29097.53,20330.31,2948.88,4.7,1,6,16.6,0.6987,0
28,14077.57,4378.63,5674.83,14.1,2,5,10.4,0.311,0
43,22231.49,2118.22,25233.83,5.6,2,9,6.4,0.0953,0
49,45923.19,2955.37,63273.01,7.3,2,1,13.1,0.0644,0
54,51486.2,6446.4,17921.07,4.7,3,2,2.9,0.1252,1
38,35963.73,7189.67,32288.51,8.1,3,4,9.1,0.1999,1
37,72700.26,28412.33,11794.58,3.5,1,5,16.5,0.3908,0
29,46094.01,25867.88,12466.04,5.8,2,5,,0.5612,0
30,23191.16,18300.58,31977.35,14.0,0,4,3.9,0.7891,0
37,30690.2,10839.94,50524.91,3.9,3,4,8.5,0.3532,0
44,15650.85,6488.03,37830.74,,1,4,8.2,0.4145,1
50,34034.04,14207.6,5692.53,3.3,2,1,3.7,0.4175,0
30,70774.95,30542.75,12662.91,5.4,1,0,1.1,0.4315,0
57,54785.13,22691.59,16680.9,5.4,1,2,1.6,0.4142,0
36,84221.51,591.22,10853.66,13.3,0,5,17.0,0.007,0
39,30280.79,41.78,18220.2,16.5,2,4,1.6,0.0014,0
31,81443.1,6363.4,25756.99,6.6,1,1,14.9,0.0781,0
18,32338.62,2627.36,29799.53,3.5,1,3,3.3,0.0812,0
50,87811.79,49518.61,51467.0,6.0,0,6,5.7,0.5639,1
48,,5875.74,10264.51,6.3,1,5,4.2,0.1639,0
36,55511.13,39733.27,4486.25,5.8,0,2,5.2,0.7158,0
40,87997.83,65372.27,17793.49,7.4,2,3,13.7,0.7429,0
46,32336.23,25245.37,60297.68,4.7,0,4,4.8,0.7807,1
21,41399.89,31102.29,9121.77,3.6,0,2,13.0,0.7513,0
33,78693.67,17116.71,23143.69,2.2,1,2,5.9,0.2175,0
49,33530.08,13674.29,23309.04,13.0,0,5,8.1,0.4078,0
24,16439.87,2307.57,15570.82,9.0,1,3,3.4,0.1404,0
43,131374.1,84732.05,13433.94,11.2,1,5,10.9,0.645,0
23,27395.7,19471.37,6382.13,10.4,1,3,12.7,0.7107,0
45,39944.79,27203.64,2153.11,7.8,3,1,9.1,0.681,0
39,72664.19,25192.21,5489.1,7.4,3,4,5.7,0.3467,0
20,25207.67,15299.52,9776.69,20.5,3,3,7.0,0.6069,0
53,19836.51,1548.5,32142.62,5.9,2,2,4.8,0.0781,0
31,42287.31,1361.47,12301.76,8.2,3,2,3.4,0.0322,0
30,12383.92,7462.42,8820.02,6.2,1,1,10.3,0.6026,0
42,30554.17,10397.1,6549.94,4.2,1,4,4.7,0.3403,0
53,42067.18,33503.96,22594.11,25.4,2,3,9.8,0.7964,0
27,30885.09,2402.96,39604.01,10.9,0,4,11.6,0.0778,0
40,14384.83,9846.45,31280.45,5.3,3,4,7.5,0.6845,0
45,94514.33,36292.22,21696.79,4.6,1,4,15.5,0.384,0
48,38643.08,25570.9,4103.15,11.8,1,4,8.7,0.6617,0
42,85707.13,56026.91,10083.55,14.6,2,7,8.7,0.6537,0
35,31069.39,22767.45,63439.59,3.9,0,7,4.7,0.7328,1
30,21418.13,5103.51,32779.56,7.3,1,3,11.4,0.2383,0
41,42680.98,32430.69,3904.94,8.2,0,2,20.6,0.7598,0
27,31905.31,3871.19,12778.61,8.3,4,6,4.8,0.1213,0
18,17914.1,1174.72,17862.86,9.2,0,9,5.1,0.0656,0
45,87716.96,30288.0,7261.0,6.8,0,6,11.6,0.3453,0
50,25000.17,16566.57,2106.19,7.6,4,1,8.2,0.6627,0
18,12038.2,4559.31,14458.81,7.9,1,1,10.2,0.3787,0
27,80571.45,53453.46,7113.81,3.7,2,3,7.9,0.6634,0
47,26833.9,15664.27,7136.14,20.2,1,6,23.5,0.5837,0
64,25217.81,4225.06,10059.33,12.2,1,3,4.3,0.1675,0
40,12591.38,9558.18,12004.77,14.2,1,4,13.3,0.7591,0
31,103214.53,5018.8,13263.0,9.4,2,1,6.5,0.0486,0
37,16752.65,12038.85,6586.7,25.9,3,4,6.8,0.7186,0
56,37611.67,9160.5,11201.83,1.0,0,4,7.1,0.2436,0
32,62791.32,25123.97,3274.96,8.4,0,6,13.7,0.4001,0
30,46771.54,15803.24,17134.19,4.5,0,5,16.0,0.3379,0
34,35038.66,4816.68,1359.65,8.8,0,4,4.0,0.1375,0
28,13082.1,3748.25,10597.87,18.0,3,6,3.3,0.2865,0
41,22340.69,3448.23,27871.19,11.7,5,11,7.1,0.1543,0
59,40647.0,6629.9,5724.6,7.9,3,3,13.2,0.1631,0
43,22645.03,3388.73,23697.96,19.0,2,4,5.0,0.1496,0
36,41028.23,16050.81,33677.53,13.4,0,8,7.8,0.3912,1
36,54668.67,34897.48,947.36,11.0,3,7,3.2,0.6383,0
21,64699.05,29449.46,11836.1,10.8,1,7,5.2,0.4552,0
50,17401.16,12434.26,1338.6,13.0,2,8,10.8,0.7146,0
39,135670.93,69088.47,12154.24,5.6,0,5,3.7,0.5092,0
37,57554.5,31739.7,13283.3,5.2,0,5,3.0,0.5515,0
78,36278.17,19375.65,1833.47,4.2,0,4,10.6,0.5341,0
43,69823.22,25106.15,62309.59,5.8,2,4,9.4,0.3596,1
30,150128.17,82791.34,16794.6,18.4,2,3,6.7,0.5515,0
34,15317.76,854.21,6773.55,7.3,0,3,10.3,0.0558,0
53,31724.43,21822.64,43144.21,18.6,3,5,10.9,0.6879,0
41,8716.22,5423.67,3176.42,5.5,3,3,5.5,0.6223,0
22,40765.48,7997.53,4997.35,15.0,3,6,3.0,0.1962,0
51,45217.37,27782.73,2122.68,16.6,1,3,10.1,0.6144,0
31,35472.13,358.77,56434.51,8.9,1,2,3.4,0.0101,0
62,24520.87,4261.66,17428.76,7.2,2,1,16.2,0.1738,0
52,10617.84,553.29,22641.08,4.9,1,5,9.1,0.0521,0
34,45438.73,28362.02,16997.15,13.9,5,5,12.0,0.6242,1
55,86964.97,52587.66,21141.94,7.0,2,3,7.1,0.6047,0
40,25473.37,16580.84,14220.82,6.5,1,7,6.0,0.6509,1
50,47289.14,169.55,16593.01,10.1,0,3,15.9,0.0036,0
45,14173.27,5683.29,14560.72,11.7,1,5,9.4,0.401,0
29,47778.35,26940.73,8210.15,4.7,4,4,12.8,0.5639,0
32,28680.44,3565.58,12870.59,10.0,2,5,15.6,0.1243,0
52,22983.9,11947.78,16628.54,16.6,3,3,13.4,0.5198,0
35,23012.25,1548.45,14595.07,4.2,4,2,23.3,0.0673,0
35,28676.49,4159.83,4096.07,14.1,2,1,12.0,0.1451,0
28,45682.02,17388.29,4555.14,14.1,1,4,4.0,0.3806,0
45,16526.2,8640.76,31769.85,14.7,3,1,6.6,0.5229,0
64,28616.27,3339.38,10450.5,12.0,2,4,9.8,0.1167,0
27,35423.01,5248.93,21328.09,11.6,0,3,4.0,0.1482,0
40,18780.54,3071.69,5576.43,,2,6,10.3,0.1636,0
56,106723.76,20380.04,4111.25,10.0,2,3,7.1,0.191,0
39,,3944.14,6803.03,6.2,1,7,6.3,0.1812,0
45,24302.58,7682.51,11180.74,6.1,2,3,19.9,0.3161,0
27,20191.46,10560.77,7847.01,7.7,2,6,12.6,0.523,0
45,106840.04,37439.47,37614.57,12.5,0,4,9.7,0.3504,0
37,50601.84,31412.57,15423.05,7.9,0,5,11.2,0.6208,0
51,20703.23,11912.95,58638.74,7.1,1,4,,0.5754,0
54,70526.16,7138.77,18463.05,14.7,2,2,19.2,0.1012,0
71,40962.78,1600.55,1939.06,9.1,1,2,10.7,0.0391,0
46,42376.62,29763.36,31095.96,,2,6,5.8,0.7024,0
43,29534.48,1886.22,3993.24,4.2,1,6,9.2,0.0639,0
42,23163.9,2748.89,16065.46,3.9,1,3,16.3,0.1187,0
35,44473.98,787.48,7188.61,8.0,2,3,12.9,0.0177,0
44,26185.15,13162.47,74173.99,4.3,2,4,10.2,0.5027,1
36,108018.02,50325.21,42263.47,7.2,3,4,13.6,0.4659,0
42,16956.82,13387.8,7380.11,5.9,1,3,6.2,0.7895,0
55,91280.65,64767.81,12065.6,2.9,1,5,12.5,0.7095,0
27,33969.17,11164.8,16247.24,4.2,1,2,3.3,0.3287,0
53,43453.71,12917.43,26654.98,19.0,1,4,7.4,0.2973,0
55,59867.83,14217.51,13674.96,6.6,2,4,10.9,0.2375,0
38,24880.77,3033.6,5884.54,6.4,4,5,13.2,0.1219,0
18,60995.11,6737.94,7524.75,6.2,1,7,3.9,0.1105,0
32,7154.33,757.12,13311.91,9.4,1,5,9.0,0.1058,0
55,23576.51,2152.34,35866.74,8.1,0,4,8.8,0.0913,0
39,20859.45,4013.56,18812.38,21.4,3,2,1.7,0.1924,0
28,17118.18,4199.69,7195.91,15.2,1,5,10.9,0.2453,0
33,31921.25,24555.84,22442.2,21.0,0,5,5.2,0.7693,0
50,45773.01,21182.77,9802.69,12.3,4,4,7.0,0.4628,0
46,55359.08,43737.91,27236.86,11.5,0,6,10.0,0.7901,0
37,41962.27,12503.65,100872.07,4.0,2,4,7.3,0.298,1
35,24357.23,8917.21,10026.02,2.0,3,3,3.6,0.3661,0
35,45315.75,11766.82,25369.02,3.3,1,2,5.6,0.2597,0
28,39127.13,5724.7,7359.04,3.0,0,6,10.3,0.1463,0
59,63680.5,7293.44,12212.18,7.4,3,7,4.4,0.1145,0
36,57882.02,43762.47,13679.45,13.5,1,2,10.0,0.7561,0
54,36985.67,29198.28,11442.08,5.4,2,3,9.5,0.7894,0
58,21197.7,761.58,95837.66,4.7,1,5,7.3,0.0359,1
51,24544.18,2952.09,10453.85,12.9,2,5,11.8,0.1203,0
34,26111.38,8847.04,21364.4,4.7,3,2,13.7,0.3388,0
44,30056.68,4480.45,2852.44,18.4,1,3,6.8,0.1491,0
39,42652.03,12416.19,18875.07,,2,5,6.0,0.2911,0
29,55776.32,5760.42,33311.02,13.5,1,5,6.4,0.1033,0
43,35218.57,12862.15,8759.75,9.5,0,7,8.4,0.3652,0
25,36668.56,7970.12,1793.32,1.5,3,5,10.7,0.2174,0
54,39576.22,11141.66,12952.95,5.0,0,6,20.6,0.2815,0
34,26647.67,2010.57,13544.65,13.9,1,1,4.8,0.0755,0
42,20842.82,7138.72,23843.34,3.0,4,2,3.8,0.3425,1
43,12666.77,9963.76,66750.86,6.4,0,6,3.7,0.7866,1
36,23930.53,6295.32,9857.2,3.1,3,2,7.7,0.2631,0
47,48237.27,33821.24,6734.3,7.4,0,5,7.5,0.7011,0
34,23819.34,16067.56,5252.53,10.1,3,4,6.5,0.6746,0
